code,category,name
A0010000,교통(도로·철도),도로경계(미분류)
A0013110,교통(도로·철도),(기존도로)미분류
A0013111,교통(도로·철도),(기존도로)고속국도
A0013112,교통(도로·철도),(기존도로)일반국도
A0013113,교통(도로·철도),(기존도로)지방도
A0013114,교통(도로·철도),(기존도로)특별시도ㆍ광역시도
A0013115,교통(도로·철도),(기존도로)시도
A0013116,교통(도로·철도),(기존도로)군도
A0013117,교통(도로·철도),(기존도로)면리간도로
A0013118,교통(도로·철도),부지안도로
A0013122,교통(도로·철도),터널안도로
A0013130,교통(도로·철도),(건설예정도로)미분류
A0013131,교통(도로·철도),(건설예정도로)고속국도
A0013132,교통(도로·철도),(건설예정도로)일반국도
A0013133,교통(도로·철도),(건설예정도로)지방도
A0013134,교통(도로·철도),(건설예정도로)특별시도ㆍ 광역시도
A0013135,교통(도로·철도),(건설예정도로)시도
A0013136,교통(도로·철도),(건설예정도로)군도
A0013137,교통(도로·철도),(건설예정도로)면리간도로
A0013140,교통(도로·철도),(건설중도로)미분류
A0013141,교통(도로·철도),(건설중도로)고속국도
A0013142,교통(도로·철도),(건설중도로)일반국도
A0013143,교통(도로·철도),(건설중도로)지방도
A0013144,교통(도로·철도),(건설중도로)특별시도ㆍ 광역시도
A0013145,교통(도로·철도),(건설중도로)시도
A0013146,교통(도로·철도),(건설중도로)군도
A0013147,교통(도로·철도),(건설중도로)면리간도로
A0013360,교통(도로·철도),(편의시설)미분류
A0013370,교통(도로·철도),(기타)미분류
A0013430,교통(도로·철도),(도로번호-기호)미분류
A0013431,교통(도로·철도),(도로번호-기호)고속국도
A0013432,교통(도로·철도),(도로번호-기호)일반국도
A0013433,교통(도로·철도),(도로번호-기호)지방도
A0013434,교통(도로·철도),(도로번호-기호)특별시도
A0013435,교통(도로·철도),(도로번호-기호)시도
A0013436,교통(도로·철도),(도로번호-기호)군도
A0013440,교통(도로·철도),(도로번호)미분류
A0013441,교통(도로·철도),(도로번호)고속국도
A0013442,교통(도로·철도),(도로번호)일반국도
A0013443,교통(도로·철도),(도로번호)지방도
A0013444,교통(도로·철도),(도로번호)특별시도
A0013445,교통(도로·철도),(도로번호)시도
A0013446,교통(도로·철도),(도로번호)군도
A0020000,교통(도로·철도),도로중심선(미분류)
A0023119,교통(도로·철도),소로
